customer_id,created_date,canceled_date,subscription_cost,subscription_interval,was_subscription_paid,subscription_status,churn_flag,active_flag,monthly_revenue,Revenue,subscription_duration,clv_per_customer,cohort_month,cancel_month,months_since_join
154536156,2022-09-01,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
149713408,2022-09-01,2022-09-02,39,month,No,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
153756284,2022-09-01,2022-09-02,39,month,No,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
121253113,2022-09-01,2022-09-23,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
154467210,2022-09-01,2023-06-29,39,month,Yes,Cancelled,1,0,39,0,9,351,2022-09,2023-06,9
154510811,2022-09-01,2023-05-08,39,month,Yes,Cancelled,1,0,39,0,8,312,2022-09,2023-05,8
154494346,2022-09-01,2022-11-26,39,month,Yes,Cancelled,1,0,39,0,2,78,2022-09,2022-11,2
148671505,2022-09-01,2022-11-23,39,month,Yes,Cancelled,1,0,39,0,2,78,2022-09,2022-11,2
154568379,2022-09-01,2022-10-25,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154428434,2022-09-01,2022-10-31,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154601651,2022-09-01,2022-09-26,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
122824692,2022-09-01,2022-09-15,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
152925600,2022-09-02,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
151154171,2022-09-02,2022-09-02,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
154640950,2022-09-02,2022-12-09,39,month,Yes,Cancelled,1,0,39,0,3,117,2022-09,2022-12,3
154617329,2022-09-02,2022-10-27,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154089211,2022-09-02,2022-10-09,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154653820,2022-09-02,2022-09-26,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
154131290,2022-09-03,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
154434009,2022-09-03,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
136108848,2022-09-03,2022-09-04,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
135185873,2022-09-03,2023-05-10,39,month,Yes,Cancelled,1,0,39,0,8,312,2022-09,2023-05,8
154592664,2022-09-03,2023-04-01,39,month,Yes,Cancelled,1,0,39,0,7,273,2022-09,2023-04,7
119436804,2022-09-03,2023-04-10,39,month,Yes,Cancelled,1,0,39,0,7,273,2022-09,2023-04,7
152929657,2022-09-03,2022-11-23,39,month,Yes,Cancelled,1,0,39,0,2,78,2022-09,2022-11,2
154708974,2022-09-03,2022-10-18,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154567722,2022-09-03,2022-09-29,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
154719788,2022-09-03,2022-09-25,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
154809306,2022-09-04,2022-09-05,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
140391539,2022-09-04,2023-04-05,39,month,Yes,Cancelled,1,0,39,0,7,273,2022-09,2023-04,7
153194806,2022-09-04,2023-04-16,39,month,Yes,Cancelled,1,0,39,0,7,273,2022-09,2023-04,7
144402204,2022-09-04,2022-09-22,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
154747678,2022-09-04,2023-01-15,39,month,Yes,Cancelled,1,0,39,0,4,156,2022-09,2023-01,4
130939158,2022-09-04,2023-02-19,39,month,Yes,Cancelled,1,0,39,0,5,195,2022-09,2023-02,5
150912359,2022-09-04,2022-11-02,39,month,Yes,Cancelled,1,0,39,0,2,78,2022-09,2022-11,2
154132592,2022-09-04,2022-11-01,39,month,Yes,Cancelled,1,0,39,0,2,78,2022-09,2022-11,2
153368891,2022-09-04,2022-10-11,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154225450,2022-09-05,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
154904040,2022-09-05,2022-09-06,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
127604200,2022-09-05,2022-10-06,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154913576,2022-09-05,2023-03-13,39,month,Yes,Cancelled,1,0,39,0,6,234,2022-09,2023-03,6
154910432,2022-09-05,2023-03-13,39,month,Yes,Cancelled,1,0,39,0,6,234,2022-09,2023-03,6
154911229,2022-09-05,2023-03-12,39,month,Yes,Cancelled,1,0,39,0,6,234,2022-09,2023-03,6
154518837,2022-09-05,2023-01-03,39,month,Yes,Cancelled,1,0,39,0,4,156,2022-09,2023-01,4
154910009,2022-09-05,2023-02-08,39,month,Yes,Cancelled,1,0,39,0,5,195,2022-09,2023-02,5
154911693,2022-09-05,2023-02-08,39,month,Yes,Cancelled,1,0,39,0,5,195,2022-09,2023-02,5
154894177,2022-09-05,2022-12-12,39,month,Yes,Cancelled,1,0,39,0,3,117,2022-09,2022-12,3
154494026,2022-09-05,2022-12-12,39,month,Yes,Cancelled,1,0,39,0,3,117,2022-09,2022-12,3
154245189,2022-09-05,2022-11-26,39,month,Yes,Cancelled,1,0,39,0,2,78,2022-09,2022-11,2
154604182,2022-09-05,2022-10-19,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154711552,2022-09-05,2022-10-05,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154827564,2022-09-05,2022-10-09,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
143581543,2022-09-05,2022-10-12,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154867798,2022-09-05,2022-10-05,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154863996,2022-09-05,2022-09-09,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
154923423,2022-09-06,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
134664128,2022-09-06,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
154828806,2022-09-06,2022-11-20,39,month,Yes,Cancelled,1,0,39,0,2,78,2022-09,2022-11,2
154934030,2022-09-06,2022-11-13,39,month,Yes,Cancelled,1,0,39,0,2,78,2022-09,2022-11,2
153671424,2022-09-06,2022-10-13,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154693818,2022-09-06,2022-10-13,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154110938,2022-09-06,2022-09-26,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
154809306,2022-09-06,2022-09-28,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
154537244,2022-09-07,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
154163218,2022-09-07,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
129467426,2022-09-07,2023-05-25,39,month,Yes,Cancelled,1,0,39,0,8,312,2022-09,2023-05,8
152498330,2022-09-07,2023-02-22,39,month,Yes,Cancelled,1,0,39,0,5,195,2022-09,2023-02,5
125335731,2022-09-07,2022-09-14,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
155113805,2022-09-08,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
148864769,2022-09-08,2022-10-28,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
123850281,2022-09-08,2022-10-15,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
155167073,2022-09-08,2022-10-06,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
153684891,2022-09-08,2022-09-09,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
131277340,2022-09-09,2023-03-01,39,month,Yes,Cancelled,1,0,39,0,6,234,2022-09,2023-03,6
152027172,2022-09-09,2022-12-02,39,month,Yes,Cancelled,1,0,39,0,3,117,2022-09,2022-12,3
155212612,2022-09-09,2022-11-03,39,month,Yes,Cancelled,1,0,39,0,2,78,2022-09,2022-11,2
155188498,2022-09-09,2022-10-09,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
155145336,2022-09-09,2022-10-03,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
152506474,2022-09-09,2022-10-16,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
118029150,2022-09-09,2023-08-16,39,month,Yes,Cancelled,1,0,39,0,11,429,2022-09,2023-08,11
155245796,2022-09-10,,39,month,Yes,Active,0,1,39,0,43,1677,2022-09,,43
155326259,2022-09-10,2023-02-21,39,month,Yes,Cancelled,1,0,39,0,5,195,2022-09,2023-02,5
155311918,2022-09-10,2022-12-12,39,month,Yes,Cancelled,1,0,39,0,3,117,2022-09,2022-12,3
154391473,2022-09-10,2022-10-12,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
155283495,2022-09-10,2022-10-08,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154597373,2022-09-10,2022-10-06,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
155370310,2022-09-11,2023-05-16,39,month,Yes,Cancelled,1,0,39,0,8,312,2022-09,2023-05,8
155289120,2022-09-11,2023-02-15,39,month,Yes,Cancelled,1,0,39,0,5,195,2022-09,2023-02,5
155351408,2022-09-11,2022-12-11,39,month,Yes,Cancelled,1,0,39,0,3,117,2022-09,2022-12,3
155336773,2022-09-11,2022-12-24,39,month,Yes,Cancelled,1,0,39,0,3,117,2022-09,2022-12,3
155017581,2022-09-11,2022-11-02,39,month,Yes,Cancelled,1,0,39,0,2,78,2022-09,2022-11,2
154401329,2022-09-11,2022-10-15,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
155334828,2022-09-11,2022-10-11,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
154815431,2022-09-11,2022-09-11,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
155343938,2022-09-11,2023-08-18,39,month,Yes,Cancelled,1,0,39,0,11,429,2022-09,2023-08,11
152436458,2022-09-12,2022-09-12,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
154689541,2022-09-12,2022-09-13,39,month,No,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
155425695,2022-09-12,2022-10-19,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
152698255,2022-09-12,2022-10-12,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
155406449,2022-09-13,2023-08-27,39,month,Yes,Cancelled,1,0,39,0,11,429,2022-09,2023-08,11
137338480,2022-09-13,2022-09-14,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
155508519,2022-09-13,2022-10-23,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
155463846,2022-09-13,2022-10-03,39,month,Yes,Cancelled,1,0,39,0,1,39,2022-09,2022-10,1
122335220,2022-09-13,2022-09-17,39,month,Yes,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
155460904,2022-09-13,2023-06-14,39,month,Yes,Cancelled,1,0,39,0,9,351,2022-09,2023-06,9
155534484,2022-09-14,2022-09-15,39,month,No,Cancelled,1,0,39,0,0,0,2022-09,2022-09,0
155465332,2022-09-14,2023-03-06,39,month,Yes,Cancelled,1,0,39,0,6,234,2022-09,2023-03,6
